Judet,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99
ab,39.72,24.97,0.31,0.0,0.0,16.92,9.31,0.0,199.59,2.12,0.0,7.27,40.79,54.54,193.37,16.97,2.75,0.0,2.91,0.0,14.35,88.91,12.91,76.87,3.75,6.93,157.19,31.3,0.1,36.47,6.64,5.12,0.73,21.01,0.81,11.46,0.0,84.47,15.56,55.51,35.28,68.21,130.44,141.77,0.0,0.0,2.54,6.72,15.37,40.93,2.15,1.05,0.18,1.52,6.61,1.71,2.49,0.08,2.83,5.19,4.93,7.11,25.37,0.37,2.7,5.22,3.94,3.02,1.21,1.34,5.88,11.31,14.59,0.0,4.88,21.77,0.39,0.29,1.1,1.42,2.07,5.38,0.0,1.5,6.24,0.0,0.0,0.0
ag,20.2,15.76,0.42,0.0,0.0,0.0,6.39,1.01,84.84,1.69,0.0,2.64,37.79,3.76,29.43,6.43,2.6,0.02,7.47,1.65,63.25,9.47,9.47,75.06,16.44,25.91,25.46,448.83,9.43,15.87,4.44,3.93,4.72,21.21,1.07,29.65,0.0,107.22,30.67,56.9,59.21,112.14,197.67,219.05,0.0,0.19,7.89,3.0,14.08,40.0,4.92,1.22,0.53,1.08,9.64,2.46,5.21,0.0,7.24,12.74,5.55,8.21,21.76,11.93,4.04,6.84,1.93,2.51,3.39,2.26,23.7,21.07,14.69,0.11,8.17,27.28,2.71,0.43,1.33,1.04,7.33,5.51,0.05,2.94,15.1,0.0,0.0,0.0
ar,39.91,18.0,0.36,0.02,5.1,0.0,4.93,0.02,38.41,3.63,0.0,29.01,38.2,13.81,22.09,2.99,1.88,0.02,0.4,0.02,40.29,11.85,8.07,64.34,50.05,62.09,19.08,179.91,52.28,54.9,30.69,1.92,11.49,17.48,0.32,14.57,0.0,76.69,16.25,41.78,47.73,115.02,120.95,203.5,0.0,0.04,24.1,5.25,9.3,43.41,1.64,0.53,0.13,0.97,7.65,3.1,4.49,0.02,5.0,14.29,9.59,11.26,18.51,0.3,4.93,5.48,4.28,2.42,2.34,2.72,29.37,21.67,35.16,1.48,5.73,37.19,0.17,2.07,1.05,0.63,2.4,4.36,0.0,1.75,9.3,1.26,0.0,0.0
b,16.96,70.16,0.87,0.02,40.83,3.41,9.5,9.79,82.43,26.39,2.3,8.08,25.56,11.83,11.67,3.21,23.74,0.45,13.79,14.12,25.23,36.76,1.7,29.83,13.31,12.68,18.24,27.67,12.66,12.46,9.51,25.22,113.34,9.11,1.53,45.82,0.07,190.39,85.39,146.59,81.67,413.4,591.1,253.17,1.21,1.38,152.66,150.08,30.33,150.02,60.32,14.92,13.01,129.7,293.44,43.85,224.19,38.12,30.68,76.54,40.99,117.21,122.93,25.4,70.9,22.66,5.81,10.26,143.02,14.25,213.2,56.38,170.04,48.79,23.11,133.92,2.73,2.22,6.05,1.18,66.65,11.31,0.11,10.2,43.71,0.0,0.0,0.0
bc,16.02,8.65,0.6,0.0,0.0,0.0,2.18,0.03,78.51,1.14,0.0,20.13,47.19,9.74,36.7,4.71,1.69,0.01,34.79,0.25,18.23,8.25,0.52,19.61,11.22,1.46,2.84,11.81,21.6,13.95,3.88,4.76,4.84,9.92,0.52,15.41,0.07,73.43,53.61,34.67,24.6,77.29,257.13,42.61,0.01,0.12,2.98,3.28,8.99,28.72,0.56,0.21,0.58,1.4,3.53,1.32,2.88,0.0,3.3,5.95,2.9,4.09,10.79,0.11,2.5,5.0,2.29,3.29,6.07,0.82,11.68,6.82,8.02,0.05,5.12,21.85,0.41,0.25,1.14,0.04,1.44,1.82,0.04,1.73,8.68,0.0,0.0,0.0
bh,37.43,13.95,1.55,1.52,0.0,1.61,7.85,1.45,74.4,16.4,0.0,11.41,39.1,77.84,13.72,12.06,5.26,0.13,4.5,0.02,54.85,23.49,4.76,68.51,76.29,13.25,5.1,49.25,0.02,66.39,15.69,2.63,10.85,13.92,0.08,25.44,0.0,112.13,37.23,71.85,52.69,152.23,153.39,196.86,0.05,0.02,34.17,7.15,32.25,55.03,9.28,0.69,3.87,0.5,16.85,10.46,3.55,0.02,7.54,16.01,10.02,11.36,26.85,0.47,5.07,7.25,2.82,2.57,11.01,2.1,34.37,15.58,20.32,0.08,7.47,35.68,0.34,0.87,1.34,0.31,7.62,10.38,0.0,2.55,11.12,0.0,0.0,0.0
bn,16.75,48.5,0.36,0.0,0.0,0.0,7.04,1.06,62.13,0.76,0.0,30.02,5.58,4.04,33.45,5.31,3.03,0.0,1.97,0.0,45.28,9.5,8.59,53.29,0.91,41.43,27.47,232.66,1.21,13.02,5.52,1.76,0.52,13.72,0.0,6.95,0.0,157.39,37.3,46.8,38.88,48.32,135.03,118.7,0.0,0.0,4.46,5.61,14.57,36.21,0.46,0.64,0.15,0.3,5.25,0.79,2.43,0.0,4.52,3.25,3.1,4.8,13.69,1.15,3.19,5.52,3.52,3.73,2.64,3.03,6.37,11.72,7.71,0.03,4.31,17.27,0.52,0.12,1.64,0.39,7.86,5.34,0.03,2.64,9.86,0.0,0.0,0.0
br,97.7,2.58,1.29,0.0,0.0,0.0,0.51,0.0,65.55,2.24,0.0,2.13,63.3,9.68,5.53,0.67,3.25,1.15,0.34,0.0,6.57,2.72,4.77,16.98,0.03,16.5,6.29,0.06,15.57,8.47,2.22,12.43,1.29,27.61,0.06,15.12,0.0,48.15,15.01,31.9,33.22,70.12,116.03,53.79,5.98,0.0,6.73,3.42,5.84,36.42,0.34,0.17,0.03,0.56,3.51,1.21,3.0,0.0,5.75,9.18,3.68,8.95,12.91,1.46,4.1,3.82,2.58,2.55,10.3,2.58,12.85,8.64,10.52,0.2,4.6,14.65,0.03,0.22,0.65,1.63,2.58,3.84,0.03,1.94,16.81,0.22,0.0,0.0
bt,26.9,1.3,3.1,0.0,0.0,0.0,5.45,0.0,55.65,2.33,0.0,13.74,89.17,4.88,5.91,0.99,1.08,0.0,0.75,0.0,5.54,5.19,0.0,4.59,0.18,8.04,4.02,0.0,0.04,12.02,0.75,1.47,4.2,10.46,0.09,10.75,0.0,59.08,19.1,22.99,16.15,41.65,85.85,26.22,0.0,0.0,3.85,4.99,4.55,25.19,0.68,0.11,0.31,1.41,3.89,0.35,2.77,0.0,0.81,2.9,1.58,1.49,8.44,0.07,1.52,1.19,3.06,0.53,0.26,0.37,4.42,3.65,2.53,0.0,3.89,8.15,0.24,0.04,0.68,0.04,0.99,1.58,0.0,0.55,8.29,0.0,0.0,0.0
bv,30.76,15.49,1.95,0.0,0.0,0.0,2.63,0.0,73.94,2.79,0.0,16.63,17.83,26.78,22.0,13.59,4.36,2.65,13.13,5.21,33.28,21.75,14.51,92.47,29.08,23.38,130.4,242.53,18.56,10.74,7.29,36.22,3.93,18.06,0.3,28.61,0.0,122.97,21.94,83.55,43.38,236.97,130.78,131.76,0.03,0.38,18.61,8.84,47.72,78.58,3.79,0.65,0.38,1.35,56.67,6.6,3.12,0.02,6.87,24.5,10.66,11.42,38.11,2.71,8.73,14.81,2.58,3.8,31.68,3.91,31.11,15.44,53.68,0.73,9.19,54.25,1.24,1.24,1.65,1.96,4.09,9.15,0.0,3.45,15.16,0.0,0.0,0.0
bz,43.42,5.91,0.15,0.0,0.0,0.0,3.88,0.4,103.86,3.42,0.0,21.56,55.59,5.74,14.53,2.23,3.42,0.63,14.72,0.0,43.48,21.27,6.93,53.53,0.21,8.87,9.04,3.3,8.91,8.54,3.24,1.82,2.9,13.92,0.15,33.4,0.0,69.31,29.25,43.53,24.95,65.07,154.59,56.68,0.19,0.0,1.57,6.47,8.83,28.29,0.38,0.29,1.59,1.59,2.65,1.25,2.94,0.02,2.9,5.74,4.22,6.37,10.17,0.73,2.86,3.84,3.8,1.38,2.44,1.25,23.69,4.49,13.4,0.02,4.32,42.57,0.04,0.17,0.81,0.75,0.69,3.17,0.0,2.21,5.74,0.0,0.0,0.0
cj,24.56,2.91,0.84,0.0,0.0,0.04,9.16,1.02,71.56,2.51,0.0,5.91,27.38,16.14,12.93,16.06,16.0,0.0,12.87,14.24,29.94,36.14,6.42,73.31,43.05,67.55,27.34,28.57,4.98,49.79,10.64,9.01,94.04,30.98,0.26,25.04,0.03,140.88,78.73,126.18,78.87,170.8,166.1,205.46,0.01,0.04,14.87,11.05,23.74,84.87,30.55,1.59,5.68,3.86,337.63,5.62,123.39,1.95,10.66,32.72,13.55,30.84,62.98,7.36,20.49,13.26,4.35,5.79,15.07,4.58,23.97,32.6,83.04,0.35,9.56,43.98,0.54,0.42,2.66,3.86,9.02,9.11,0.01,4.21,18.58,0.0,0.0,0.0
cl,118.74,4.41,2.99,0.0,0.0,0.0,0.63,0.72,54.13,0.79,0.0,1.61,39.58,0.31,7.53,9.04,1.1,0.0,2.99,0.0,3.68,22.36,10.39,18.45,0.19,0.06,14.99,3.15,1.1,5.01,0.44,0.88,0.38,17.48,0.09,12.09,0.0,48.74,11.02,34.86,14.14,51.23,104.6,45.88,1.57,0.0,11.15,3.24,3.27,20.25,0.31,0.5,0.19,0.82,1.98,0.13,2.83,0.03,0.76,1.92,2.99,3.15,8.19,8.12,2.71,2.3,1.73,0.69,2.77,0.57,7.75,5.1,3.4,0.03,3.27,10.26,0.16,0.0,0.54,0.03,1.79,2.77,0.19,0.44,5.1,0.0,0.0,0.0
cs,14.38,22.57,0.46,0.18,0.0,0.21,1.61,0.0,39.08,1.19,0.03,0.91,12.03,0.0,30.61,0.21,0.91,0.03,0.06,0.0,6.52,5.09,2.71,18.95,4.57,10.42,5.33,236.1,1.46,5.3,3.47,2.56,1.83,14.35,0.15,8.25,0.0,30.55,17.64,23.24,20.07,44.53,93.48,50.35,0.03,0.03,3.53,3.78,15.57,33.99,1.01,0.64,0.0,1.58,1.04,0.61,0.61,0.0,3.23,5.51,2.5,2.56,9.35,0.09,0.79,2.74,2.59,0.58,2.47,1.07,14.56,4.97,7.89,0.0,3.5,11.36,0.0,5.45,0.67,0.4,1.1,2.8,0.03,1.98,7.4,0.03,0.0,0.0
ct,53.71,0.34,2.73,0.0,0.0,0.0,6.35,10.26,52.19,1.17,0.0,5.96,6.48,0.95,3.13,0.88,2.78,14.48,4.23,1.38,10.33,14.9,2.86,31.08,0.18,0.52,2.58,0.44,40.79,9.59,3.82,23.1,27.33,31.03,0.39,43.49,2.43,121.1,47.19,73.84,35.7,107.11,136.99,86.03,5.75,1.77,126.48,5.04,60.61,92.1,1.25,1.18,0.88,2.31,6.15,2.29,5.7,0.0,6.88,18.42,8.82,8.74,32.91,1.57,7.4,7.75,2.6,3.25,26.17,3.67,54.44,18.02,10.93,1.66,9.43,40.33,1.74,0.88,1.6,0.49,10.11,8.8,0.08,6.0,23.6,0.0,0.01,0.0
cv,26.26,35.87,0.96,0.04,0.0,0.0,8.83,0.04,101.24,3.93,0.0,9.26,124.23,2.27,71.66,19.88,4.11,0.0,0.31,0.0,17.83,9.7,0.0,38.28,0.74,5.99,5.16,7.82,0.13,14.94,17.7,1.79,0.0,13.02,0.04,20.76,0.0,58.29,14.29,33.43,32.38,99.19,108.63,85.99,0.0,0.0,4.41,4.98,30.72,28.97,3.58,0.87,0.79,3.06,8.3,0.79,3.8,0.04,1.7,5.94,6.38,4.72,12.54,0.92,1.57,5.11,3.5,0.79,0.83,1.18,4.24,5.46,10.14,0.0,5.99,8.83,0.0,0.26,1.62,0.17,3.67,5.51,0.0,2.18,4.33,0.0,0.0,0.0
db,25.34,6.17,1.15,0.04,0.0,0.0,6.24,0.89,37.5,0.28,0.0,29.18,35.84,1.12,12.86,6.83,3.48,0.04,6.34,0.0,14.3,9.12,44.21,31.96,0.26,95.73,8.26,0.17,5.79,10.63,1.63,5.41,0.19,13.62,0.25,6.41,1.63,73.81,9.25,38.01,22.86,41.15,91.08,65.55,0.0,0.0,7.66,4.63,9.72,29.94,2.02,0.81,0.3,0.89,4.35,1.29,1.25,0.02,1.89,6.54,2.61,9.42,15.09,0.23,2.69,3.1,2.59,1.36,15.83,0.87,17.89,15.7,9.91,6.69,4.82,15.39,0.85,0.3,0.57,0.47,0.06,4.14,0.0,1.97,10.8,0.0,0.0,0.0
dj,55.89,3.88,0.53,0.0,0.0,0.0,3.2,4.17,39.74,0.77,0.0,4.38,37.74,11.12,3.84,3.07,3.81,0.0,1.73,0.06,33.57,14.21,0.23,20.48,1.57,17.28,6.72,93.37,13.18,11.61,3.67,6.62,24.81,16.59,0.41,6.16,0.01,74.18,20.92,44.69,35.3,108.06,138.88,80.95,0.16,0.0,6.66,8.29,10.84,37.73,5.22,1.63,0.36,6.01,19.08,1.91,4.08,0.0,5.72,12.06,4.35,7.51,17.46,3.4,3.45,5.34,2.75,2.55,9.87,1.64,66.58,20.85,40.17,1.47,6.49,47.79,1.47,1.04,0.81,0.4,3.48,5.46,0.0,2.53,16.22,0.0,0.0,0.0
gj,6.85,13.97,1.01,0.98,0.0,0.0,8.49,0.03,36.11,0.19,0.0,3.6,18.12,0.0,8.38,0.63,2.87,0.22,0.57,0.0,29.17,11.16,0.03,34.28,0.41,3.82,3.44,0.0,0.98,5.65,1.69,9.8,312.97,19.19,0.19,26.8,0.0,59.74,18.12,28.71,23.14,53.54,127.66,83.84,0.0,0.0,3.27,2.16,8.35,34.52,1.26,0.33,1.17,0.74,7.4,0.82,5.05,0.0,4.88,4.97,4.61,1.61,34.0,0.38,2.32,3.14,3.96,1.8,0.19,1.15,63.64,3.77,14.33,26.61,6.6,22.76,0.19,0.3,1.26,0.3,3.36,3.14,0.0,2.07,13.7,0.0,0.0,0.0
gl,31.55,0.96,0.19,0.0,0.0,0.0,2.39,0.33,50.83,2.18,0.0,2.78,6.8,0.44,1.82,0.59,1.88,0.0,0.28,1.06,12.12,4.9,86.91,36.44,4.9,1.44,4.76,3.29,36.19,16.92,1.64,10.94,3.95,16.05,0.3,12.35,0.0,71.44,50.88,58.46,29.2,143.03,129.22,56.92,12.37,0.0,28.42,5.54,5.99,37.03,1.88,0.35,0.16,1.0,15.26,6.31,2.77,0.0,4.16,9.73,3.35,4.54,30.23,0.02,2.45,3.5,2.15,2.33,11.17,2.67,38.67,10.33,11.81,0.41,5.05,15.15,0.19,0.06,0.66,0.28,3.67,4.68,0.0,1.87,11.75,0.0,0.0,0.0
